S1,P1,J1,200
S1,P1,J3,100
S1,P1,J4,700
S1,P2,J2,100
S2,P3,J1,400
S2,P3,J2,200
S2,P3,J4,500
S2,P3,J5,400
S2,P5,J1,400
S2,P5,J2,100
S3,P1,J1,200
S3,P3,J1,200
S4,P5,J1,100
S4,P6,J3,300
S4,P6,J4,200
S5,P2,J4,100
S5,P3,J1,200
S5,P6,J2,200
S5,P6,J4,500
S99,P21,J33,183
S53,P5,J49,673
S16,P33,J9,133
S5,P30,J57,398
S92,P42,J40,454
S76,P58,J65,297
S64,P54,J51,588
S70,P53,J55,769
S96,P44,J35,162
S7,P29,J55,230
S90,P52,J8,728
S40,P24,J59,369
S83,P5,J45,512
S33,P18,J10,892
S65,P2,J5,565
S75,P52,J40,814
S32,P49,J11,602
S17,P45,J20,412
S60,P46,J37,835
S88,P14,J68,215
S25,P21,J22,173
S19,P8,J64,547
S37,P66,J2,477
S102,P45,J25,296
S11,P61,J37,229
S58,P59,J25,351
S83,P10,J41,169
S10,P28,J61,507
S101,P41,J57,665
S47,P16,J9,783
S87,P29,J6,844
S91,P45,J2,681
S64,P57,J30,593
S86,P34,J51,502
S16,P51,J45,303
S95,P51,J35,290
S25,P54,J68,304
S29,P41,J37,101
S86,P62,J54,528
S44,P48,J40,423
S50,P52,J36,651
S23,P18,J58,515
S46,P4,J16,490
S22,P23,J59,728
S58,P8,J61,118
S31,P13,J2,546
S80,P66,J11,708
S95,P29,J5,752
S26,P52,J65,407
S71,P20,J24,851
S44,P9,J27,444
S90,P57,J25,459
S87,P59,J60,576
S17,P21,J67,345
S54,P23,J12,108
S15,P26,J67,480
S34,P47,J37,450
S25,P21,J49,436
S56,P2,J42,239
S49,P43,J53,222
S56,P5,J44,573
S44,P12,J6,144
S13,P56,J64,112
S100,P32,J4,664
S46,P12,J41,585
S53,P40,J13,332
S45,P65,J49,776
S15,P22,J9,221
S49,P56,J52,771
S8,P37,J56,221
S18,P26,J44,119
S1,P30,J21,585
S7,P67,J38,824
S55,P41,J61,612
S94,P56,J4,592
S103,P1,J18,279
S87,P54,J12,711
S9,P36,J61,503
S63,P16,J22,188
S60,P5,J43,558
S95,P65,J7,215
S2,P27,J23,148
S89,P34,J40,535
S46,P27,J3,163
S79,P32,J33,196
S6,P64,J13,744
S95,P49,J35,761
S12,P54,J13,309
S31,P19,J68,324
S92,P28,J41,877
S58,P59,J14,517
S23,P57,J13,583
S84,P39,J29,403
S74,P49,J46,784
S76,P41,J11,744
S92,P10,J55,429
S101,P22,J44,386
S73,P47,J67,495
S79,P27,J41,146
S38,P38,J37,617
S58,P41,J39,262
S73,P53,J11,350
S30,P59,J31,114
S34,P21,J28,571
S81,P11,J7,166
S14,P28,J5,623
S77,P29,J66,576
S56,P38,J66,571
S54,P61,J55,139
S96,P45,J5,257
S73,P55,J54,613
S2,P66,J37,656
S102,P1,J42,571
S100,P29,J60,703
S105,P26,J44,238
S93,P6,J42,430
S45,P23,J19,564
S31,P51,J66,539
