S1,精益,20,天津
S2,盛锡,10,北京
S3,东方红,30,北京
S4,丰泰盛,20,天津
S5,为民,30,上海
S6,出公忘私,90,常州
S7,凡木蔓,76,南京
S8,违干,14,常州
S9,告终,96,深圳
S10,皮开肉绽,84,福州
S11,无其奈,19,厦门
S12,心窄,65,成都
S13,议量,13,杭州
S14,旁骑,100,西安
S15,流丸,98,苏州
S16,言高旨远,10,南京
S17,考核,64,长沙
S18,心殒胆落,55,郑州
S19,环瑱,12,东莞
S20,东门逐兔,10,青岛
S21,工致,31,沈阳
S22,连拱坝,66,宁波
S23,积谗糜骨,53,昆明
S24,巍峩,34,无锡
S25,护官符,34,佛山
S26,净土宗,88,合肥
S27,游贩,6,大连
S28,方极,4,福州
S29,执讯,85,厦门
S30,添增,32,哈尔滨
S31,识职,71,济南
S32,可杀,13,温州
S33,金槽,85,南宁
S34,修家,62,长春
S35,五洋杂货,57,泉州
S36,计符,75,石家庄
S37,后命,84,贵阳
S38,开腿,75,南昌
S39,如左右手,23,金华
S40,缾罍,43,常州
S41,熊成基,8,南通
S42,六房,3,嘉兴
S43,边粟,92,太原
S44,大八洲,84,徐州
S45,献侑,74,惠州
S46,单介,89,珠海
S47,昧死以闻,54,中山
S48,非同寻常,59,台州
S49,辞严意正,32,烟台
S50,官壶,99,兰州
S51,所适,68,绍兴
S52,脆好,62,海口
S53,鬼力,62,扬州
S54,猫鼠同处,6,汕头
S55,秦分,25,湖州
S56,课读,47,盐城
S57,柏子禅,52,盐城
S58,摇唇鼓喙,8,保定
S59,做戏文,55,镇江
S60,淹中,48,洛阳
S61,典契地,18,泰州
S62,揉慁,25,乌鲁木齐
S63,驾役,51,临沂
S64,雁海,59,唐山
S65,运道,96,漳州
S66,穿胷,43,赣州
S67,饷献,84,凯里
S68,尚书省,16,宣城
S69,萌阳,20,无锡
S70,南官,100,佛山
S71,羸悴,15,合肥
S72,清洗,40,大连
S73,递积,40,福州
S74,顶事,67,厦门
S75,落马,86,哈尔滨
S76,斧依,19,济南
S77,劳瘁,79,温州
S78,智惠,34,南宁
S79,牤牛,11,长春
S80,抽丰,43,泉州
S81,取与,18,石家庄
S82,仁明,56,贵阳
S83,疵疫,88,南昌
S84,高光,20,金华
S85,内羞,33,常州
S86,冬叶,70,南通
S87,芘荫,52,嘉兴
S88,喜津津,50,太原
S89,授简,59,天津
S90,组哨,32,上海
S91,舞文枉法,90,常州
S92,文章树,5,南京
S93,西塞,83,常州
S94,脖儿梗,18,深圳
